Source,Target,Weight,Type
across_the_universe,all_you_need_is_love,1,undirected
across_the_universe,and_i_love_her,2,undirected
across_the_universe,girl,3,undirected
across_the_universe,i_am_the_walrus,6,undirected
across_the_universe,Origin_of_Species,1,undirected
across_the_universe,yesterday,1,undirected
all_you_need_is_love,across_the_universe,1,undirected
all_you_need_is_love,girl,2,undirected
all_you_need_is_love,strawberry_fields,6,undirected
and_i_love_her,across_the_universe,2,undirected
and_i_love_her,girl,6,undirected
and_i_love_her,i_am_the_walrus,1,undirected
girl,across_the_universe,3,undirected
girl,all_you_need_is_love,2,undirected
girl,and_i_love_her,6,undirected
girl,i_am_the_walrus,2,undirected
girl,strawberry_fields,1,undirected
girl,yesterday,4,undirected
i_am_the_walrus,across_the_universe,6,undirected
i_am_the_walrus,and_i_love_her,1,undirected
i_am_the_walrus,girl,2,undirected
i_am_the_walrus,Origin_of_Species,2,undirected
i_am_the_walrus,US_Constitution,3,undirected
i_am_the_walrus,yesterday,2,undirected
Origin_of_Species,across_the_universe,1,undirected
Origin_of_Species,i_am_the_walrus,2,undirected
Origin_of_Species,US_Constitution,5,undirected
strawberry_fields,all_you_need_is_love,6,undirected
strawberry_fields,girl,1,undirected
strawberry_fields,yesterday,5,undirected
US_Constitution,i_am_the_walrus,3,undirected
US_Constitution,Origin_of_Species,5,undirected
US_Constitution,yesterday,1,undirected
yesterday,across_the_universe,1,undirected
yesterday,girl,4,undirected
yesterday,i_am_the_walrus,2,undirected
yesterday,strawberry_fields,5,undirected
yesterday,US_Constitution,1,undirected
